deviceCategory,avgSessionDuration,bounceRate,browser,city,country,date,hostName,language,pageviews,region,screenResolution,sessionDuration,sessions,users
desktop,0.0,100.0,Firefox,(not set),(not set),20201225,mytravelexp.com,c,1,(not set),1024x768,0.0,1,1
desktop,19.0,0.0,Chrome,Sarajevo,Bosnia & Herzegovina,20210123,mytravelexp.com,en-us,2,Federation of Bosnia and Herzegovina,1920x1080,19.0,1,1
desktop,0.0,100.0,Chrome,(not set),Canada,20201225,mytravelexp.com,en-us,11,(not set),1024x768,0.0,11,11
desktop,16.0,0.0,Chrome,(not set),Canada,20210204,mytravelexp.com,en-us,2,Quebec,1366x768,16.0,1,1
desktop,0.0,100.0,Edge,(not set),Canada,20201225,mytravelexp.com,en-us,7,(not set),1024x768,0.0,7,7
desktop,0.0,100.0,Firefox,(not set),Canada,20201225,mytravelexp.com,en-us,3,(not set),1024x768,0.0,3,3
desktop,0.0,100.0,Edge,Offenbach,Germany,20210120,mytravelexp.com,de,1,Hessen,1536x864,0.0,1,1
desktop,1904.0,0.0,Chrome,Walldorf,Germany,20201104,mytravelexp.com,en-us,85,Baden-Wurttemberg,1280x720,1904.0,1,1
desktop,1335.0,0.0,Chrome,Walldorf,Germany,20201105,mytravelexp.com,en-us,37,Baden-Wurttemberg,1280x720,2670.0,2,2
desktop,140.5,0.0,Chrome,Bengaluru,India,20201003,mytravelexp.com,en-us,14,Karnataka,1280x720,562.0,4,2
desktop,62.0,0.0,Chrome,Bengaluru,India,20201004,mytravelexp.com,en-us,4,Karnataka,1280x720,62.0,1,1
desktop,94.0,0.0,Chrome,Bengaluru,India,20201026,mytravelexp.com,en-us,20,Karnataka,1280x720,188.0,2,1
desktop,838.0,0.0,Chrome,Bengaluru,India,20201101,mytravelexp.com,en-us,18,Karnataka,1280x720,838.0,1,1
desktop,232.71428571428572,14.285714285714285,Chrome,Bengaluru,India,20201102,mytravelexp.com,en-us,33,Karnataka,1280x720,1629.0,7,1
desktop,384.2857142857143,0.0,Chrome,Bengaluru,India,20201103,mytravelexp.com,en-us,68,Karnataka,1280x720,2690.0,7,6
desktop,1033.0,0.0,Chrome,Bengaluru,India,20201104,mytravelexp.com,en-us,18,Karnataka,1280x720,1033.0,1,1
desktop,79.0,0.0,Chrome,Bengaluru,India,20201106,mytravelexp.com,en-us,6,Karnataka,1280x720,79.0,1,1
desktop,387.5,50.0,Chrome,Bengaluru,India,20201122,mytravelexp.com,en-us,19,Karnataka,1280x720,775.0,2,1
desktop,343.0,0.0,Chrome,Bengaluru,India,20201123,mytravelexp.com,en-us,4,Karnataka,1280x720,343.0,1,1
desktop,0.0,100.0,Chrome,Bengaluru,India,20201124,mytravelexp.com,en-us,2,Karnataka,1280x720,0.0,2,1
desktop,34.0,0.0,Chrome,Bengaluru,India,20201127,mytravelexp.com,en-us,5,Karnataka,1280x720,34.0,1,1
desktop,0.0,100.0,Chrome,Bengaluru,India,20201128,mytravelexp.com,en-us,1,Karnataka,1280x720,0.0,1,1
desktop,3.0,0.0,Chrome,Bengaluru,India,20201129,mytravelexp.com,en-us,2,Karnataka,1280x720,3.0,1,1
desktop,0.0,100.0,Chrome,Bengaluru,India,20201130,mytravelexp.com,en-us,1,Karnataka,1280x720,0.0,1,1
desktop,0.0,100.0,Chrome,Bengaluru,India,20201201,mytravelexp.com,en-us,1,Karnataka,1280x720,0.0,1,1
desktop,365.5,50.0,Chrome,Bengaluru,India,20201207,mytravelexp.com,en-us,8,Karnataka,1280x720,731.0,2,1
desktop,17.0,0.0,Chrome,Bengaluru,India,20210116,mytravelexp.com,en-us,2,Karnataka,1280x720,17.0,1,1
desktop,9.0,0.0,Chrome,Bengaluru,India,20210125,mytravelexp.com,en-us,4,Karnataka,1280x720,9.0,1,1
desktop,523.0,0.0,Chrome,Bengaluru,India,20210205,mytravelexp.com,en-us,2,Karnataka,1280x720,523.0,1,1
desktop,487.0,0.0,Chrome,Bengaluru,India,20210206,mytravelexp.com,en-us,4,Karnataka,1280x720,487.0,1,1
desktop,1520.0,0.0,Chrome,Bengaluru,India,20210214,mytravelexp.com,en-us,15,Karnataka,1280x720,3040.0,2,1
desktop,0.0,100.0,Chrome,Bengaluru,India,20210302,mytravelexp.com,en-us,1,Karnataka,1280x720,0.0,1,1
desktop,0.0,100.0,Chrome,Bengaluru,India,20210303,mytravelexp.com,en-us,3,Karnataka,1536x864,0.0,3,1
desktop,859.0,0.0,Chrome,Bengaluru,India,20210306,mytravelexp.com,en-us,7,Karnataka,1536x864,859.0,1,1
desktop,0.0,100.0,Chrome,Guwahati,India,20201215,mytravelexp.com,en-us,1,Assam,1536x864,0.0,1,1
desktop,0.0,100.0,Chrome,Karachi,Pakistan,20210212,mytravelexp.com,en-us,1,Sindh,1920x1080,0.0,1,1
desktop,1942.0,0.0,Chrome,Manila,Philippines,20201122,mytravelexp.com,en-us,8,Metro Manila,1280x720,1942.0,1,1
